STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
124,Intel Core i5-10210U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, 60 Hz, Anti-glare LED-backlit",1.5,Windows 10,Asus A412FA-EK740T/i5-10210U,16.990.000 ₫
125,Intel Core i5-1135G7,"8 GB, DDR4",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 250 nits, Anti-glare LED-backlit",1.35,Windows 10,Asus Vivobook A415EA-EB357T/i5-1135G7,16.890.000 ₫
126,Intel Core i5-1135G7,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel Iris Xe Graphics,"15.6"", 1366 x 768 Pixel, SVA, 60 Hz, 250 nits, Ultra Slim",1.91,Windows 10,HP 15s fq2027TU i5 1135G7,16.190.000 ₫
127,Intel Core i5-1035G1,"8 GB, DDR4, 3200 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, LED-backlit",1.66,Windows 10,Lenovo ideapad Slim 5 15IIL05 i5 1035G1/81YK004WVN,16.190.000 ₫
128,Intel Core i5-1035G1,"4 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 200 nits, LED-backlit",1.78,Windows 10,Asus Vivobook X509JP-EJ014T/i5-1035G1,16.090.000 ₫
129,Intel Core i5-10210U,"8 GB, DDR4, 2666 MHz",SSD 256 GB,AMD Radeon 610 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Anti-glare LED-backlit",2.17,Windows 10,Dell V3590 i5 10210U/P75F010N90B,16.090.000 ₫
130,AMD Ryzen 7-3700U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon RX Graphics Vega 10,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, Anti-glare LED-backlit",1.7,Windows 10,Dell Vostro V3405 R7 3700U,16.090.000 ₫
131,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 300 nits, Anti-glare LED-backlit",1.66,Windows 10,Lenovo Ideapad Slim 5 15ITL05 i5 1135G7,15.990.000 ₫
132,Intel Core i5-1035G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,NVIDIA GeForce MX250 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, Anti-glare LED-backlit",1.755,Windows 10,HP Pavilion 15-cs3116TX/i5-1035G1,15.990.000 ₫
133,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, TN, 220 nits, LED-backlit",1.5,Windows 10,Lenovo ThinkBook 14-IIL/i5-1035G1,15.990.000 ₫
134,Intel Core i5-1035G1,"4 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Anti-glare LED-backlit",2,Windows 10,Dell Inspiron N3593D i5 1035G1/P75F013N93D,15.690.000 ₫
135,Intel Core i5-8265U,"4 GB, DDR4, 2666 MHz",HDD 1000 GB,AMD Radeon 520 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 300 nits, Anti-glare LED-backlit",2.28,Windows 10,Dell Vostro V3580I/Core i5-8265U/P75F010V80I,15.490.000 ₫
136,Intel Core i5-1035G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,NVIDIA GeForce MX230 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 120 Hz, LED-backlit",2,Windows 10,Dell Inspiron N3593 i5 1035G1/70205744,15.390.000 ₫
137,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, Anti-glare LED-backlit",1.9,Windows 10,Dell Vostro V3591 i5 1035G1,15.290.000 ₫
138,Intel Core i5-1035G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare Micro-edge WLED-backlit",1.6,Windows 10,HP Pavilion 14-ce3018TU/i5-1035G1,15.290.000 ₫
139,Intel Core i5-1035G1,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, Acer ComfyView LED-backlit",1.9,Windows 10,Acer Aspire 3 A315-57G-524Z i5-1035G1,14.990.000 ₫
140,Intel Core i5-8265U,"4 GB, DDR4, 2666 MHz",Đang cập nhật,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.9,Windows 10,Dell Vostro V5581/Core i5-8265U/70175952,14.990.000 ₫
141,AMD Ryzen 5-3500U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics,"14.0"", 1920 x 1080 Pixel, 60 Hz, Anti-glare LED-backlit",1.79,Windows 10,Dell Vostro V3405 R5 3500U,14.799.000 ₫
142,Intel Core i3-1005G1,"4 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, WLED-backlit",1.65,Windows 10,HP Pavilion x360 14-dw0061TU/i3-1005G1,14.790.000 ₫
143,AMD Ryzen 5-3500U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics Vega 8,"14.0"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.5,Windows 10,Asus Vivibook A412DA-EK160T/R5-3500U,14.690.000 ₫
144,Intel Core i5-1035G1,"4 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 200 nits, LED-backlit",1.9,Windows 10,Asus Vivobook X509JA-EJ171T/i5-1035G1,14.690.000 ₫
145,Intel Core i3-8145U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixel, IPS, LED-backlit",1.8,Windows 10,Asus Vivobook S530FA-BQ431T/Core i3-8145U,14.490.000 ₫
146,Intel Core i5-1035G1,"4 GB, DDR4",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, SVA, 60 Hz, 200 nits, LED Backlit",1.6,Windows 10,Asus Vivobook X409JA-EK199T/i5-1035G1,14.190.000 ₫
147,Intel Core i3-8145U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.54,Windows 10,Asus Vivobook S430FA-EB459T/i3-8145U,13.990.000 ₫
148,Intel Core i3-8145U,"4 GB, DDR4, 2666 MHz",HDD 1000 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, 250 nits, LED-backlit",1.4,Windows 10,Asus Vivobook S430FA-EB069T/Core I3-8145U,13.890.000 ₫
149,Intel Core i3-10110U,"4 GB, DDR4, 2666 MHz",SSD 128 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Anti-glare LED-backlit",1.49,Windows 10,Dell Inspiron V5490 i3 10110U/V4I3101W,13.790.000 ₫
150,Intel Core i3-10110U,"4 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, Anti-glare LED-backlit",1.6,Windows 10,HP ProBook 440 G7/i3-10110U,13.690.000 ₫
