Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
MSI,Intel Core i5-10300H,16 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1660Ti,6,15.6, 1920 x 1080,1.86,28990000.0
HP,Intel Core i7-10750H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.23,26990000.0
Dell,Intel Core i7-1165G7,8 GB,4266 MHz,512.0,0.0,NVIDIA GeForce MX350,2,13.3, 1920 x 1080,1.25,26990000.0
HP,AMD Ryzen 7-4700U,8 GB,3200 MHz,256.0,0.0,On board,0,13.3, 1920 x 1080,1.32,26690000.0
Dell,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce MX330,2,14.0, 1920 x 1080,1.72,24490000.0
Lenovo,Intel Core i5-10300H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,23790000.0
Dell,Intel Core i7-1165G7,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.96,21390000.0
Dell,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.72,21190000.0
Lenovo,Intel Core i5-10300H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,20990000.0
Lenovo,AMD Ryzen 7-4800H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19790000.0
Dell,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.96,18590000.0
Lenovo,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,17590000.0
Dell,Intel Core i5-1035G1,8 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.66,15690000.0
HP,Intel Core i5-1035G1,4 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1366 x 768,1.65,14890000.0
Dell,Intel Core i3-1115G4,8 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.64,11990000.0
