STT,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
31,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.75,12190000.0
32,Asus,Intel Core i3-1115G4,4 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.4,13990000.0
33,Asus,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.5,11390000.0
34,HP,Intel Core i3-1005G1,4 GB, 3200 MHz,256,0.0,On board,0,14,1920 x 1080,1.65,13990000.0
35,Lenovo,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.6,14390000.0
36,HP,Intel Core i7-1165G7,8 GB, 3200 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.592,18090000.0
37,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.8,11690000.0
38,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.346,12490000.0
39,Lenovo,Intel Core i3-1005G1,8 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.6,12590000.0
40,Dell,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,14,1920 x 1080,1.66,10890000.0
41,Dell,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000.0,On board,0,15.6,1920 x 1080,1.9,15790000.0
42,Acer,Intel Core i5-1035G1,8 GB, 2400 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.7,15190000.0
43,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.85,12790000.0
44,Asus,Intel Pentium N5030 ,4 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.9,8790000.0
