,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
115,Dell Inspiron N5584/Core i5-8265U/N5I5384W,Core i5,4 GB,HDD 1 TB,GeForce MX130 2GB,"15.6""",1.95,17.990.000 ₫
116,MSI Modern 14 B11MO-004VN/i5-1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"14.0""",1.3,17.990.000 ₫
117,Lenovo IdeaPad Flex 5 14ARE05 R7 4700U/81X2008YVN,Ryzen™ 7,8 GB,SSD 512 GB,AMD Radeon Graphics Vega 6,"14""",1.5,17.990.000 ₫
118,Lenovo ThinkPad E14/i5 10210U,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.77,17.990.000 ₫
119,HP ProBook 440 G7/i5-10210U,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics 620,"14.0""",1.6,17.590.000 ₫
120,Lenovo ThinkBook 15-IIL/i5-1035G1,Core i5,8 GB,SSD 512 GB,Radeon 630 2GB,"15.6""",1.8,17.490.000 ₫
121,HP Pavilion 15-cs3011TU/i5-1035G1,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics 620,"15.6""",1.706,17.290.000 ₫
122,Lenovo ideapad 5-15IIL05/i5 1035G1,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics,"15.6""",1.66,17.190.000 ₫
123,Lenovo IdeaPad C340-15IIL/i5-1035G1,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics,"15.6""",2,16.990.000 ₫
124,Asus A412FA-EK740T/i5-10210U,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics 620,"14.0""",1.5,16.990.000 ₫
125,Asus Vivobook A415EA-EB357T/i5-1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"14.0""",1.35,16.890.000 ₫
126,HP 15s fq2027TU i5 1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"15.6""",1.91,16.190.000 ₫
