,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Hệ điều hành,Pin,Trọng lượng,Màu sắc,Kích thước,Price
249,"Laptop HP Pavilion x360 14-dw0061TU (19D52PA) (i3-1005G1 | 4GB | 512GB | Intel UHD Graphics | 14"" FHD Touch | Win 10)",Intel Core i3-1005G1 1.2GHz up to 3.4GHz 4MB,"4GB DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",512GB PCIe® NVMe™ M.2 SSD,Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS WLED-backlit, Touch Screen",Windows 10 Home + Office Home & Student,3 Cell 43WHr,1.61 kg,Vàng,32.4 x 22.1 x 1.87 cm,"13,990,000₫"
250,"Laptop ASUS ROG Strix SCAR 17 G732L-WSHG065T (i7-10875H | 16GB | 1TB | VGA RTX 2070 8GB Super | 17.3"" FHD 300Hz | Win 10)",Intel Core i7-10875H 2.3GHz up to 5.1GHz 16MB,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB SSD PCIE G3X4 (3 slots),NVIDIA GeForce RTX 2070 Super™ 8GB GDDR6,"17.3"" FHD (1920 x 1080) IPS Non-Glare, NanoEdge, 100% sRGB, 300nits, 300Hz/3ms",Windows 10 Home,4 Cell 66WHrs,2.88 kg,Original Black,39.9 x 29.3 x 2.20 ~ 2.62 (cm),"59,990,000₫"
251,"Laptop MSI GE75 Raider 10SFS-270VN (i9-10980HK | 16GB | 512GB + 1TB | VGA RTX 2070 8GB Super | 17.3"" FHD 240Hz | Win 10)",Intel Core i9-10980HK 2.4GHz up to 5.3GHz 16MB,16GB (8GB x2) DDR4 3200MHz,HDD 1TB 7200rpm + 512GB SSD PCIE G3X4,NVIDIA GeForce RTX 2070 Super™ 8GB GDDR6,"17.3"" FHD (1920 x 1080) IPS with 72% NTSC, 240Hz/ 3ms, Non-Glare, 100% sRGB, 300nits",Windows 10 Home,6 Cell 51WHrs,2.64 kg,Đen,397 x 268.5 x 27.5,"61,990,000₫"
252,"Laptop MSI GS66 Stealth 10SE-407VN (i7-10750H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6"" FHD 240Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"16GB (8GBx2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",(Còn trống 1 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce RTX 2060 6GB GDDR6,"15.6"" FHD (1920 x 1080) IPS with Anti-Glare, 240Hz, 3ms, Thin Bezel, 100% sRGB",Windows 10 Home,4 Cell 99.9WHr,2.1 kg,Đen,358.3 x 248 x 18.3-19.8 (mm),"43,490,000₫"
253,"Laptop MSI Modern 14 A10RAS-1041VN (i7-10510U | 8GB | 512GB | VGA MX330 2GB | 14"" FHD | Win 10)",Intel Core i7-10510U 1.8GHz up to 4.9GHz 8MB,8GB DDR4 2666MHz,512GB PCIe NVMe™ M.2 SSD,NVIDIA GeForce MX330 2GB GDDR5 + Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS-Level, 60Hz, 72% NTSC, Thin Bezel, 100% sRGB",Windows 10 Home,4 Cell 50WHr,1.19 kg,Xám,322 x 222 x 15.9 (mm),"22,490,000₫"
254,"Laptop Acer Aspire 5 A514-53-346U (i3-1005G1 | 4GB | 512GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i3-1005G1 1.2GHz up to 3.4GHz 4MB,"4GB DDR4 2666MHz Onboard (1x SO-DIMM socket, up to 12GB SDRAM)","512GB SSD M.2 PCIE, 1x slot SATA3 2.5""",Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS, Acer ComfyView LCD",Windows 10 Home,3 Cell 48Whr,1.5 kg,Pure Silver (Vỏ nhôm),328.8 x 236 x 17.95 (mm),"11,990,000₫"
255,"Laptop Acer Aspire 5 A514-53-3821 (i3-1005G1 | 4GB | 256GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i3-1005G1 1.2GHz up to 3.4GHz 4MB,"4GB DDR4 2666MHz Onboard (1x SO-DIMM socket, up to 12GB SDRAM)","256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS, Acer ComfyView LCD",Windows 10 Home,3 Cell 48Whr,1.5 kg,Pure Silver (Vỏ nhôm),328.8 x 236 x 17.95 (mm),"10,990,000₫"
256,Laptop Acer Aspire 3 A315-56-37DV (i3-1005G1 | 4GB | 256GB | Intel UHD Graphics | 15.6'' FHD | Win 10),Intel Core i3-1005G1 1.2GHz up to 3.4GHz 4MB,"4GB DDR4 2666MHz Onboard (1x SO-DIMM socket, up to 12GB SDRAM)","256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",Intel UHD Graphics,"15.6"" FHD (1920 x 1080) Acer ComfyView LCD, Anti-Glare",Windows 10 Home,3 Cell 36.7 Whr,1.7 kg,Shale Black,363 x 247.5 x 19.9 (mm),"9,990,000₫"
257,"Laptop HP Envy x360 13-ar0116AU (9DS89PA) (R7-3700U | 8GB | 512GB | Radeon Vega 10 Graphics | 13.3"" FHD Touch | Win 10)",AMD Ryzen 7 3700U 2.3GHz up to 4.0GHz 6MB,8GB DDR4 2400MHz Onboard,512GB PCIe NVMe™ M.2 SSD,AMD Radeon Vega 10 Graphics,"13.3"" FHD (1920 x 1080) IPS micro-edge WLED-backlit Touch Screen with Corning® Gorilla® Glass NBT™, 72% Colour Gamut",Windows 10 Home,4 Cell 53.2 WHr,1.3 kg,Xám đen,306.7 x 212.6 x 14.7 mm,"24,990,000₫"
258,"Laptop Dell Inspiron 7490 (N4I5106W) (i5-10210U | 8GB | 512GB | VGA MX250 2GB | 14"" FHD | Win 10)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,8GB LPDDR3 2133MHz,512GB SSD PCIe NVMe,NVIDIA GeForce MX250 2GB GDDR5 + Intel UHD Graphics 620,"14"" FHD (1920 x 1080) IPS, 300nits, 100% sRGB, Wide Viewing Angle LED-Backlit Display",Windows 10 Home,4 Cell 52WHrs,1.095 kg,Silver,319.77 x 205.93 x 14.9 – 17.96 mm,"26,990,000₫"
259,"Laptop Dell Vostro 3580 (T3RMD3) (i7-8565U | 8GB | 1TB | VGA Radeon 520 2GB | 15.6"" FHD | Win 10)",Intel Core i7-8565U 1.8GHz up to 4.6GHz 8MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)","HDD 1TB 5400rpm, x1 slot SSD M.2 PCIe",AMD Radeon 520 2GB GDDR5 + Intel UHD Graphics 620,"15.6"" FHD (1920 x 1080) Anti-Glare",Windows 10 Home SL 64-bit,3 Cell 42WHr,2.16 kg,Đen,380 x 258 mm x 22.7 mm,"17,990,000₫"
260,"Laptop HP Pavilion 15-cs2057TX (6YZ20PA) (i5-8265U | 4GB | 120GB SSD + 1TB | VGA MX130 2GB | 15.6"" FHD | Win 10)",Intel Core i5-8265U 1.6GHz up to 3.9GHz 6MB,"4GB DDR4 2666MHz (2x SO-DIMM socket, up to 16GB SDRAM)",HDD 1TB 5400rpm + 120GB SSD M.2 SATA,NVIDIA GeForce MX130 2GB GDDR5 + Intel UHD Graphics 620,"15.6"" FHD (1920 x 1080) Anti-Glare",Windows 10 Home,3 Cell 41WHr,1.85 kg,Xám,36.16 x 24.16 x 1.79 cm,"13,490,000₫"
