,Name,CPU,RAM,Ổ cứng,Màn hình,Card màn hình,Cổng kết nối,Hệ điều hành,Thiết kế,Kích thước,Thời điểm ra mắt,Price
124,Laptop Asus VivoBook X507UB i7 8550U/4GB/1TB/2GB MX110/Win10 (BR354T),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","15.6 inch, HD (1366 x 768)",NVIDIA GeForce MX110 2GB,"2 x USB 2.0, 2 x USB 3.0, HDMI",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 21.9 mm, 1.8 kg",2018,16.390.000₫
125,Laptop Lenovo Yoga Duet 7 13IML05 i7 10510U/8GB/512GB/Touch/Pen/Win10 (82AS007CVN),"Intel Core i7 Comet Lake, 10510U, 1.80 GHz","8 GB, DDR4 (On board), 2666 MHz",SSD 512 GB M.2 PCIe,"13 inch, WQHD (2160x1350)",Intel UHD Graphics,"2 x USB Type-C (Power Delivery and DisplayPort), USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 9.19 mm, 0.7988 kg + Bàn phím 0.3695 kg",2020,29.490.000₫
126,Laptop Dell Inspiron 3580 i7 8565U/8GB/256GB/2GB AMD520/Win10 (70188447),"Intel Core i7 Coffee Lake, 8565U, 1.80 GHz","8 GB, DDR4 (2 khe), 2666 MHz",SSD 256GB NVMe PCIe,"15.6 inch, Full HD (1920 x 1080)",AMD Radeon 520 2GB,"HDMI 1.4, 2 x USB 3.1, LAN (RJ45), USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 22.7 mm, 2.28 kg",2019,21.490.000₫
127,Laptop Lenovo Yoga Slim 7 14IIL05 i7 1065G7/8GB/512GB Win 10 (82A100FKVN),"Intel Core i7 Ice Lake, 1065G7, 1.30 GHz","8 GB, DDR4 (On board), 3200 MHz",SSD 512 GB M.2 PCIe,"14 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"2 x USB 3.2, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 15.1 mm, 1.55 kg",2020,24.990.000₫
128,Laptop Asus VivoBook X507UB i7 8550U/4GB/1TB/2GB MX110/Win10 (BR354T),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","15.6 inch, HD (1366 x 768)",NVIDIA GeForce MX110 2GB,"2 x USB 2.0, 2 x USB 3.0, HDMI",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 21.9 mm, 1.8 kg",2018,16.390.000₫
129,Laptop Lenovo IdeaPad S340 15IIL i3 1005G1/8GB/512GB/Win10 (81VW0042VN),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.79 kg",2019,14.090.000₫
130,Laptop Lenovo Yoga Duet 7 13IML05 i5 10210U/8GB/512GB/Touch/Pen/Win10 (82AS007BVN),"Intel Core i5 Comet Lake, 10210U, 1.60 GHz","8 GB, DDR4 (On board), 2666 MHz",SSD 512 GB M.2 PCIe,"13 inch, WQHD (2160x1350)",Intel UHD Graphics,"2 x USB Type-C (Power Delivery and DisplayPort), USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 9.19 mm, 0.7988 kg + Bàn phím 0.3695 kg",2020,26.690.000₫
131,Laptop Dell Vostro 5370 i5 8250U/4GB/256GB/Office365/Win10 (7M6D51),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (2 khe), 2666 MHz",SSD: 256 GB M2,"13.3 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"HDMI 1.4, 2 x USB 2.0, 2 x USB 3.0, USB Type-C",Windows 10 + Office 365 1 năm,"Vỏ nhựa, PIN liền","Dày 75 mm, 2.0 kg",2017,20.290.000₫
132,Laptop Asus VivoBook A412FA i3 8145U/4GB/512GB/Win10 (EK342T),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"HDMI, USB 2.0, USB 3.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19 mm, 1.5 kg",2019,12.290.000₫
133,Laptop Acer Swift 3 SF314 56 38UE i3 8145U/4GB/256GB/Win10 (NX.H4CSV.005),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 17.95 mm, 1.45 kg",2018,14.290.000₫
134,Laptop Acer Swift 3 SF315 52G 87N4 i7 8550U/8GB/128GB/2GB MX150/Win10 (NX.GZCSV.005),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","8 GB, DDR4 (2 khe), 2400 MHz","SSD 128GB M2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX150 2GB,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 16.9 mm, 1.7 kg",2018,23.090.000₫
135,Laptop HP 15s du0063TU i5 8265U/4GB/1TB/Win10 (6ZF63PA),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"HDMI 1.4, 2 x USB 3.1, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.74 kg",2019,14.390.000₫
136,Laptop Lenovo IdeaPad S340 15IIL i5 1035G4/8GB/512GB/Win10 (81VW00A8VN),"Intel Core i5 Ice Lake, 1035G4, 1.10 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"2 x USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9mm, 1.79 kg",2019,15.990.000₫
137,Laptop Lenovo IdeaPad 330 15IKB i5 8250U/4GB/1TB/Win10 (81DE024CVN),"Intel Core i5 Coffee Lake, 8250U, 1.60 GHz","4 GB, DDR4 (On board +1 khe), 2133 MHz",HDD: 1 TB SATA3,"15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"HDMI 1.4, 2 x USB 3.0, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 23 mm, 2.2 kg",2018,12.690.000₫
138,Laptop Lenovo YOGA S730 13IWL i5 8265U/8GB/512GB/Win10 (81J0008SVN),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","8 GB, DDR3L(On board), 2133 MHz",SSD 512 GB M.2 PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"Thunderbolt 3, 2 x USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 11.9 mm, 1.09 kg",2019,23.690.000₫
