,CPU,Chip đồ họa,RAM,Màn hình,Lưu trữ,Kích thước,Khối lượng
107,"Intel Core i5-9300H ( 2.4 GHz - 4.1 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650Ti 4GB GDDR6 / Intel UHD Graphics 630,1 x 8GB DDR4 2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS 144Hz , không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,35.9 x 25.4 x 2.17,1.9 kg
108,"AMD Ryzen 3 3250U ( 2.6 GHz - 3.5 GHz / 4MB / 2 nhân, 4 luồng )",AMD Radeon Graphics,1 x 4GB Onboard DDR4 ( 1 Khe cắm / Không nâng cấp được ),"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , VGA webcam",256GB SSD M.2 NVMe /,36 x 23.5 x 2.29 cm,1.9 kg
109,"Intel Core i3-10110U ( 2.1 GHz - 4.1 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB Onboard DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD cảm ứng , HD webcam",512GB SSD M.2 NVMe /,32.7 x 22.5 x 1.75 cm,1.5 kg
110,"Intel Core i5-10300H ( 2.5 GHz - 4.5 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650 4GB GDDR6 / Intel UHD Graphics,1 x 8GB DDR4 2933MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,35.9 x 24.96 x 2.49 cm,2.2 kg
111,"Intel Core i7-1065G7 ( 1.3 GHz - 3.9 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Plus Graphics,8GB Onboard DDR4 3200MHz Không nâng cấp được ),"13.3"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,30.65 x 19.46 x 1.69 cm,1.3 kg
112,"AMD Ryzen 3 3250U ( 2.6 GHz - 3.5 GHz / 4MB / 2 nhân, 4 luồng )",AMD Radeon Graphics,1 x 4GB Onboard DDR4 2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"15.6"" ( 1920 x 1080 ) Full HD TN không cảm ứng , HD webcam",512GB SSD M.2 NVMe /,35.7 x 23 x 1.99 cm,1.7 kg
113,"AMD Ryzen 5 4500U ( 2.3 GHz - 4.0 GHz / 8MB / 6 nhân, 6 luồng )",AMD Radeon Graphics,8GB (4GB + 4GB Onboard) DDR4 3200MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD IPS cảm ứng , HD webcam",512GB SSD M.2 NVMe /,32.4 x 22 x 1.82 cm,1.5 kg
114,"Intel Core i3-1005G1 ( 1.2 GHz - 3.4 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB Onboard DDR4 2666MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"14"" ( 1920 x 1080 ) Full HD VA không cảm ứng , VGA webcam",256GB SSD M.2 NVMe /,32.5 x 21.6 x 2.31 cm,1.6 kg
115,"Intel Core i7-10750H ( 2.6 GHz - 5.0 GHz / 12MB / 6 nhân, 12 luồng )",NVIDIA GeForce GTX 1660Ti 6GB GDDR6 / Intel UHD Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS 144Hz , không cảm ứng",512GB SSD M.2 NVMe /,36 x 27.5 x 2.58 cm,2.4 kg
116,"Intel Core i7-10750H ( 2.6 GHz - 5.0 GHz / 12MB / 6 nhân, 12 luồng )",NVIDIA GeForce GTX 1660Ti 6GB GDDR6 / Intel UHD Graphics,16GB Onboard DDR4 2933MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng",512GB SSD M.2 NVMe /,36 x 25.2 x 1.89 cm,1.9 kg
117,"Intel Core i7-10875H ( 2.3 GHz - 5.1 GHz / 16MB / 8 nhân, 16 luồng )",NVIDIA GeForce RTX 2060 6GB GDDR6 / Intel UHD Graphics,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng",1TB SSD M.2 NVMe /,36 x 27.5 x 2.49,2.4 kg
118,"Intel Core i7-10750H ( 2.6 GHz - 5.0 GHz / 12MB / 6 nhân, 12 luồng )",NVIDIA GeForce GTX 1660Ti 6GB GDDR6 / Intel UHD Graphics,2 x 8GB DDR4 2933MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"17.3"" ( 1920 x 1080 ) Full HD IPS 144Hz , không cảm ứng",512GB SSD M.2 NVMe /,39.9 x 29.3 x 2.20 cm,2.8 kg
119,"Intel Core i3-10110U ( 2.1 GHz - 4.1 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB Onboard DDR4 2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 20GB ),"14"" ( 1920 x 1080 ) Full HD TN không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,32.2 x 21.2 x 1.99 cm,1.3 kg
120,"Intel Core i3-10110U ( 2.1 GHz - 4.1 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB DDR4 2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 20GB ),"15.6"" ( 1920 x 1080 ) Full HD TN không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,35.7 x 23 x 1.99 cm,1.6 kg
121,"Intel Core i3-10110U ( 2.1 GHz - 4.1 GHz / 4MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB DDR4 2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 20GB ),"15.6"" ( 1920 x 1080 ) Full HD TN không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,35.7 x 23 x 1.99 cm,1.6 kg
